,rua,metro_quadrado,quartos,garagens,banheiros,preco,id,scrapy_datetime,lat,lon
1338,"            Rua Aluísio de Azevedo, Jardim Atlântico",        300 ,4,4,3,600000,2539639552,2022-05-08 20:08:48,-7.9761781,-34.8411158
1339,"            Casa Caiada, Olinda",        95 ,3,2,1,800000,2204595583,2022-05-08 20:08:48,-7.9835463,-34.8389609
1340,"            Rua Jornalista Luís de Andrade, Casa Caiada",        95 ,3,2,1,770000,2560696582,2022-05-08 20:08:48,-7.9866315,-34.8418334
1341,"            Rua Professor José Cândido Pessoa, Bairro Novo",        119 ,4,2,3,650000,2538485000,2022-05-08 20:08:48,-8.003732,-34.8413302
1342,"            Rua Rogaciano de Santana, Rio Doce",        99 ,4,1,3,220000,2508255276,2022-05-08 20:08:48,-7.9668982,-34.8392138
1343,"            Casa Caiada, Olinda",        128 ,4,3,4,1400000,2561156811,2022-05-08 20:08:48,-7.9835463,-34.8389609
1344,"            Rua Oito, Rio Doce",        180 ,2,1,,182586,2558167360,2022-05-08 20:08:48,-7.9593894,-34.8542665
1345,"            Avenida Ministro Marcos Freire, Casa Caiada",        99 ,3,2,3,880000,2549701763,2022-05-08 20:08:48,-7.9811394,-34.8352712
1346,"            Fragoso, Olinda",        50 ,2,1,1,150000,2559724169,2022-05-08 20:08:48,-7.9842603,-34.8520068
1347,"            Rua Jornalista Luís de Andrade, Casa Caiada",        96 ,3,3,1,880000,2550751916,2022-05-08 20:08:48,-7.9866315,-34.8418334
1348,"            Rua Joaquim Antônio de Medeiros, Casa Caiada",        180 ,4,4,3,530000,2549496288,2022-05-08 20:08:48,-7.9879138,-34.8430973
1349,"            Avenida Ministro Marcos Freire, Casa Caiada",        144 ,3,2,2,600000,2558427676,2022-05-08 20:08:48,-7.9811394,-34.8352712
1350,"            Avenida da Asa Branca, Rio Doce",        46 ,2,1,1,159000,2554664844,2022-05-08 20:08:48,-7.9571815,-34.8454746
1351,"            Rua Hélio Rodrigues Cardoso, Bultrins",        130 ,4,1,3,300000,2554120126,2022-05-08 20:08:48,-7.9975759,-34.84776
1352,"            Jardim Atlântico, Olinda",        132 ,3,2,1,350000,2555146697,2022-05-08 20:08:48,-7.9753891,-34.8459936
1353,"            Rua Pereira Simões, Bairro Novo",        79 ,3,1,2,380000,2558425247,2022-05-08 20:08:48,-8.0005265,-34.8434549
1354,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        180 ,5,1,2,900000,2551226377,2022-05-08 20:08:48,-7.9892805,-34.8399215
1355,"            Jardim Atlântico, Olinda",        67 ,3,1,2,250000,2558882306,2022-05-08 20:08:48,-7.9753891,-34.8459936
1356,"            Avenida São João Batista, Jardim Atlântico",        224 ,4,4,4,699000,2552160195,2022-05-08 20:08:48,,
1357,"            Rua Otaviano Pessoa Monteiro, Casa Caiada",        85 ,3,1,3,400000,2550219913,2022-05-08 20:08:48,-7.9892805,-34.8399215
1358,"            Jardim Atlântico, Olinda",        10 ,2,1,1,260000,2552285397,2022-05-08 20:08:48,-7.9753891,-34.8459936
1359,"            Rua Jovelino Francisco de Barros, Jardim Atlântico",        280 ,4,2,1,690000,2551139446,2022-05-08 20:08:48,-7.9758965,-34.8416629
1360,"            Rio Doce, Olinda",        103 ,3,1,1,220000,2544603088,2022-05-08 20:08:48,-7.9661053,-34.8322058
1361,"            Rua José Maurício Viana, Jardim Atlântico",        118 ,3,1,3,220000,1039401621,2022-05-08 20:08:48,-7.9744465,-34.8389467
1362,"            Avenida Beira Rio, Fragoso",        52 ,2,1,2,175000,2559317270,2022-05-08 20:08:48,-7.9823973,-34.8498421
1363,"            Rua Cônego Jonas Taurino, Peixinhos",        200 ,4,2,2,250000,2561948968,2022-05-08 20:08:48,-8.0014561,-34.8772089
1364,"            Rua Luís de Carvalho, Varadouro",        120 ,2,1,2,680000,2559201959,2022-05-08 20:08:48,,
1365,"            Avenida Ministro Marcos Freire, Casa Caiada",        48 ,2,1,1,365000,2559316239,2022-05-08 20:08:48,-7.9811394,-34.8352712
1366,"            Rua Tertuliano Francisco Feitosa, Casa Caiada",        90 ,2,1,1,350000,2521550799,2022-05-08 20:08:48,-7.9919121,-34.8403828
1367,"            Casa Caiada, Olinda",        58 ,2,1,2,234900,2552524557,2022-05-08 20:08:48,-7.9835463,-34.8389609
1368,"            Avenida Vasco Rodrigues, Peixinhos",        38 ,2,2,1,130000,2551141142,2022-05-08 20:08:48,-8.006184,-34.8778505
1369,"            Rua Professora Dulce de Barros Barreto, Jardim Atlântico",        68 ,3,1,2,150000,2484440080,2022-05-08 20:08:48,,
1370,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        110 ,3,2,4,570000,2559467111,2022-05-08 20:08:48,-7.9848483,-34.8380293
1371,"            Rua Coronel José Cipriano da Silva, Rio Doce",        67 ,3,1,1,270000,2239266002,2022-05-08 20:08:48,-7.9649507,-34.8313592
1372,"            Rua Padre Antônio Henrique, Rio Doce",        180 ,2,2,4,400000,2549335251,2022-05-08 20:08:48,-7.9661053,-34.8322058
1373,"            Avenida Governador Carlos de Lima Cavalcante, Bairro Novo",        67 ,2,1,,280000,2524199178,2022-05-08 20:08:48,-7.9999362,-34.8461515
1374,"            Rua João Clementino Montarroyos, Casa Caiada",        75 ,3,1,2,300000,2552118954,2022-05-08 20:08:48,-7.9862598,-34.8405747
1375,"            Rua Delmiro Monteiro da Purificação, Jardim Atlântico",        115 ,3,1,3,349990,2538676101,2022-05-08 20:08:48,-7.9711973,-34.8378979
1376,"            Avenida Brasil, Rio Doce",        47 ,2,1,1,170000,2551142298,2022-05-08 20:08:48,-7.95946,-34.8465666
1377,"            Rua Jornalista Edson Regis, Jardim Atlântico",        53 ,2,1,2,254500,2558905162,2022-05-08 20:08:48,-7.9751264,-34.8373879
1378,"            Rua Setenta, Rio Doce",        46 ,2,1,1,156000,2561597779,2022-05-08 20:08:48,-7.9640118,-34.856651
1379,"            Rua José Mariano, Jardim Atlântico",        85 ,3,1,2,184990,2538405403,2022-05-08 20:08:48,-7.9759257,-34.8431952
1380,"            Rua Nilson Sabino Pinho, Jardim Atlântico",        69 ,3,1,2,120000,2557219550,2022-05-08 20:08:48,-7.973061,-34.8387294
1381,"            Rua do Xexéu, Rio Doce",        46 ,2,1,1,174200,2559317173,2022-05-08 20:08:48,-7.957805,-34.8452617
1382,"            Rua Turquesa, Jardim Atlântico",        10612 ,,,,4500000,2451799719,2022-05-08 20:08:48,-7.9737019,-34.8513529
1383,"            Avenida Ministro Marcos Freire, Bairro Novo",        298 ,4,3,3,897000,2518694386,2022-05-08 20:08:48,-8.0023988,-34.8395821
1384,"            Rua Carmela Dutra, Vila Popular",        1000 ,8,3,,1900000,2526633893,2022-05-08 20:08:48,-8.0132889,-34.8619781
1385,"            Casa Caiada, Olinda",        100 ,3,1,3,300000,2542544383,2022-05-08 20:08:48,-7.9835463,-34.8389609
1386,"            Avenida Nápoles, Rio Doce",        50 ,2,1,1,90000,2558535817,2022-05-08 20:08:48,-7.9675749,-34.8512369
1387,"            Avenida Doutor José Augusto Moreira, Casa Caiada",        212 ,4,2,4,900000,2559742114,2022-05-08 20:08:48,-7.9848483,-34.8380293
1388,"            Rua Altamira, Tabajara",        400 ,5,2,,650000,2557154414,2022-05-08 20:08:48,-7.9706566,-34.8714921
1389,"            Rua Carlos Leite Moreira, Casa Caiada",        230 ,4,4,5,640000,2557262175,2022-05-08 20:08:48,-7.9826439,-34.8404972
1390,"            Rua Professor Ênio Carlos de Albuquerque, Rio Doce",        200 ,2,1,1,85000,2558421433,2022-05-08 20:08:48,-7.9644261,-34.8460222
1391,"            Casa Caiada, Olinda",        50 ,2,1,2,430000,2552833804,2022-05-08 20:08:48,-7.9835463,-34.8389609
1392,"            Rua Ayrton Senna, Rio Doce",        47 ,2,1,1,186360,2559648814,2022-05-08 20:08:48,-7.9673038,-34.8347981
1393,"            Rua José Augusto da Silva Braga, Bairro Novo",        360 ,3,3,,580000,2556561345,2022-05-08 20:08:48,-8.0006416,-34.8448816
1394,"            Avenida Ministro Marcos Freire, Bairro Novo",        16 ,1,1,,65000,2546337687,2022-05-08 20:08:48,-8.0023988,-34.8395821
1395,"            Rua C-2, Rio Doce",        46 ,2,1,1,185559,2558723049,2022-05-08 20:08:48,-7.9651737,-34.8339526
1396,"            Casa Caiada, Olinda",        10 ,2,1,1,390000,2539695176,2022-05-08 20:08:48,-7.9835463,-34.8389609
1397,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        92 ,3,1,2,330000,2556889216,2022-05-08 20:08:48,-7.9824958,-34.8375212
1398,"            Avenida da Integração, Jardim Atlântico",        51 ,2,1,1,180000,2541754280,2022-05-08 20:08:48,-7.9711061,-34.8440732
1399,"            Avenida Ministro Marcos Freire, Casa Caiada",        122 ,3,2,3,650000,2478364477,2022-05-08 20:08:48,-7.9811394,-34.8352712
1400,"            Jardim Atlântico, Olinda",        78 ,3,1,2,220000,2507998874,2022-05-08 20:08:48,-7.9753891,-34.8459936
1401,"            Rua Professor Francisco Xavier Paes Barreto, Casa Caiada",        110 ,3,1,1,450000,2513927010,2022-05-08 20:08:48,-7.9903257,-34.8422608
1402,"            Rua Professor Marculino Botelho, Bairro Novo",        83 ,3,1,2,280000,2506714180,2022-05-08 20:08:48,-7.9931262,-34.8394801
1403,"            Rua da Glória, Casa Caiada",        128 ,3,1,3,300000,2558427679,2022-05-08 20:08:48,-7.9754591,-34.8347534
1404,"            Avenida Ministro Marcos Freire, Casa Caiada",        143 ,3,1,1,700000,2516238477,2022-05-08 20:08:48,-7.9811394,-34.8352712
1405,"            Avenida Nápoles, Jardim Atlântico",        45 ,2,1,1,115000,2560615816,2022-05-08 20:08:48,-7.9675749,-34.8512369
1406,"            Rua Artur Serpa, Fragoso",        102 ,3,2,4,410000,2561709341,2022-05-08 20:08:48,-7.9912927,-34.8452266
1407,"            Avenida Ministro Marcos Freire, Casa Caiada",        96 ,3,1,3,420000,2557585244,2022-05-08 20:08:48,-7.9811394,-34.8352712
1408,"            Rua Coronel Henrique Guimarães, Bairro Novo",        47 ,2,1,1,180000,2554978599,2022-05-08 20:08:48,-8.0095731,-34.8431656
1409,"            Rua Pedro de Barros Cavalcante, Bultrins",        300 ,8,3,,900000,2508253494,2022-05-08 20:08:48,-7.9978096,-34.8506065
1410,"            Rua Arácia, Jardim Atlântico",        200 ,3,2,2,370000,2538386197,2022-05-08 20:08:48,-7.9691666,-34.8470761
1411,"            Casa Caiada, Olinda",        46 ,2,1,1,220000,2510867722,2022-05-08 20:08:48,-7.9835463,-34.8389609
1412,"            Rua Gildo Branco, Casa Caiada",        50 ,2,1,1,135000,2558421431,2022-05-08 20:08:48,-7.9825468,-34.8390406
1413,"            Rua Barão de São Borja, Bairro Novo",        150 ,3,2,3,650000,2560065034,2022-05-08 20:08:48,-7.9949765,-34.8474288
1414,"            Rua Professor Ênio Carlos de Albuquerque, Rio Doce",        70 ,2,1,,80000,2558422058,2022-05-08 20:08:48,-7.9644261,-34.8460222
1415,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        77 ,2,1,2,250000,2551318783,2022-05-08 20:08:48,-7.9824958,-34.8375212
1416,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        77 ,2,1,2,250000,2551318783,2022-05-08 20:08:48,-7.9824958,-34.8375212
1417,"            Rua Antúrio, Jardim Atlântico",        150 ,5,3,2,500000,2546904545,2022-05-08 20:08:48,-7.9700509,-34.8472985
1418,"            Amaro Branco, Olinda",        180 ,3,2,3,550000,2550959686,2022-05-08 20:08:48,-8.0099423,-34.8465502
1419,"            Casa Caiada, Olinda",        62 ,2,1,2,360000,2533833686,2022-05-08 20:08:48,-7.9835463,-34.8389609
1420,"            Rua Hélio Rodrigues Cardoso, Casa Caiada",        62 ,2,1,2,250000,2558582428,2022-05-08 20:08:48,-7.9970371,-34.8477665
1421,"            Rua Joaquim Elísio Maia e Silva, Bairro Novo",        96 ,3,2,4,900000,2549897347,2022-05-08 20:08:48,-6.844922,-35.4932545
1422,"            Rua Estudante Cláudio Uchôa Cavalcanti Filho, Rio Doce",        360 ,5,3,5,500000,2559395115,2022-05-08 20:08:48,-7.9665596,-34.8371452
1423,"            Rua Professor Fernando César de Andrade, Casa Caiada",        90 ,3,1,2,250000,2536253001,2022-05-08 20:08:48,,
1424,"            Rua José Augusto da Silva Braga, Bairro Novo",        200 ,3,5,5,690000,2538130420,2022-05-08 20:08:48,-8.0006416,-34.8448816
1425,"            Rua B-16, Rio Doce",        76 ,3,2,2,300000,2559756463,2022-05-08 20:08:48,-7.961689,-34.8360717
1426,"            Avenida Ministro Marcos Freire, Casa Caiada",        100 ,3,2,2,941000,2560944108,2022-05-08 20:08:48,-7.9811394,-34.8352712
1427,"            Rua Professora Marly Figueiredo, Casa Caiada",        138 ,3,1,1,280000,2514688422,2022-05-08 20:08:48,-7.9850513,-34.8406729
1428,"            Rua C-2, Rio Doce",        46 ,2,1,1,192000,2559178918,2022-05-08 20:08:48,-7.9651737,-34.8339526
1429,"            Avenida Governador Carlos de Lima Cavalcante, Casa Caiada",        87 ,3,1,2,370000,2558363991,2022-05-08 20:08:48,-7.9824958,-34.8375212
1430,"            Casa Caiada, Olinda",        130 ,4,2,1,750000,2517064540,2022-05-08 20:08:48,-7.9835463,-34.8389609
1431,"            Rua São Francisco, Carmo",        600 ,1,26,4,2350000,2536194234,2022-05-08 20:08:48,-8.0149842,-34.8478095
1432,"            Rua Catulo da Paixão Cearense, Jardim Atlântico",        68 ,3,1,1,270000,2551154559,2022-05-08 20:08:48,-7.9753849,-34.8367645
1433,"            Peixinhos, Olinda",        53 ,2,1,2,140000,2551054260,2022-05-08 20:08:48,-8.013118799999999,-34.8723992
1434,"            Avenida Ministro Marcos Freire, Casa Caiada",        95 ,3,2,4,690000,2523527192,2022-05-08 20:08:48,-7.9811394,-34.8352712
1435,"            Rua Bom Jesus, Amaro Branco",        377 ,3,3,2,350000,2544610390,2022-05-08 20:08:48,-8.0107626,-34.8453833
1436,"            Rua José Augusto da Silva Braga, Bairro Novo",        76 ,3,1,1,380000,2554055021,2022-05-08 20:08:48,-8.0006416,-34.8448816
